Community,Size
2,173
11,125
6,121
9,108
19,90
1,86
22,68
36,67
25,64
5,58
35,54
24,45
15,33
28,30
4,30
21,29
26,24
16,24
37,23
8,21
29,16
3,15
32,12
40,10
17,10
33,9
0,8
30,7
12,6
34,5
18,5
23,5
27,5
31,4
14,4
7,4
39,4
13,3
10,3
20,3
38,1
