,num_communities,modularity,largest_community,smallest_community,mean_size,median_size
louvain,26.0,0.8956437171106192,120.0,1.0,54.30769230769231,55.0
leiden,1412.0,-0.0012788628331803237,1.0,1.0,1.0,1.0
infomap,124.0,0.8067811267781471,35.0,1.0,11.387096774193548,10.0
label_propagation,110.0,0.8030589538408178,61.0,1.0,12.836363636363636,9.0
walktrap,41.0,0.8830556419829491,173.0,1.0,34.4390243902439,16.0
