,betweenness,closeness,degree,eigenvector,pagerank,authority,hub,constraint,eccentricity,degree_centrality
1252,2089.734390609392,0.051576667523218676,5,6.797541802994411e-13,0.000919549692516608,6.79691701974332e-13,6.796928923632856e-13,0.36756666666666665,40.0,0.003543586109142452
1253,0.0,0.05165441176470588,2,2.601012393025204e-13,0.00045392760044154785,2.6008924896289e-13,2.600835347955283e-13,0.8350694444444444,40.0,0.001417434443656981
1254,24.594200244200252,0.07194060419866871,3,1.0243473967157031e-05,0.0006284053554467967,1.0243473967125408e-05,1.0243473967124073e-05,0.3333333333333333,28.0,0.002126151665485471
1255,3187.3058467847636,0.08649879948285415,6,0.001541845380677517,0.0011376123792265233,0.001541845380677552,0.0015418453806775336,0.2993838574768062,27.0,0.004252303330970942
1256,0.0,0.06237236970611738,2,3.909758511080651e-05,0.0004742239302405806,3.909758511088643e-05,3.9097585110867786e-05,0.7709750566893423,38.0,0.001417434443656981
1257,4206.45464339577,0.06908250565443996,10,0.0005840445942678769,0.0019617507371124886,0.0005840445942679548,0.0005840445942679489,0.11690000000000003,36.0,0.007087172218284904
1258,84.63760160969342,0.06987963791902914,2,0.00042173694230517354,0.0004188701069961954,0.0004217369423053331,0.0004217369423052807,0.5,36.0,0.001417434443656981
1259,0.0,0.04946486410364737,2,2.3976178402707276e-13,0.00039929640552902095,2.39893100012978e-13,2.3987074203425383e-13,0.5997744138977905,41.0,0.001417434443656981
1260,3.0,0.0768431415445198,2,8.726403533595023e-07,0.0005279268890779884,8.726403533453859e-07,8.726403533408279e-07,0.5,29.0,0.001417434443656981
1261,764.3979810419471,0.05187564613794122,6,6.610279296797599e-13,0.0010603253443215892,6.611722132008316e-13,6.611395850855464e-13,0.27423528211407,40.0,0.004252303330970942
1262,11.585714285714285,0.08932544980609065,4,0.015190912045941035,0.0007422817528770755,0.0151909120459413,0.015190912045941253,0.2998167438271605,28.0,0.002834868887313962
1263,1917.575,0.07074521651560926,2,3.735443975182342e-09,0.0005636478665566078,3.735443953736843e-09,3.7354439518432124e-09,0.5,33.0,0.001417434443656981
1264,508812.1016205674,0.09916013833015738,27,0.00017663882120541228,0.004904172326397136,0.00017663882120531348,0.0001766388212053048,0.047247653545612535,26.0,0.01913536498936924
1265,0.0,0.06456801470588236,1,2.007632470808188e-09,0.00029841202792551326,2.007632479559756e-09,2.0076324713401447e-09,1.0,33.0,0.0007087172218284905
1266,819.9187431591663,0.06913689597480563,3,5.879214998509787e-09,0.000638658816565063,5.879214942261094e-09,5.879214940480134e-09,0.3333333333333333,33.0,0.002126151665485471
1267,0.5333333333333333,0.06068852317394497,2,6.469951736806252e-10,0.0004771902220347593,6.469951612397013e-10,6.469951538771413e-10,0.5,34.0,0.001417434443656981
1268,4206.000000000001,0.04693502588942709,3,6.3607795720065e-15,0.0008247973623179283,6.363816513009301e-15,6.3513343985595185e-15,0.48225308641975306,42.0,0.002126151665485471
1269,0.0,0.05875710940113751,2,6.112858533877725e-11,0.0004889350255237862,6.112857242191997e-11,6.112857557092589e-11,0.9225,37.0,0.001417434443656981
1270,0.3333333333333333,0.058752195366730785,2,1.2029653988500825e-10,0.00042931125993441404,1.202965099316669e-10,1.2029652391872911e-10,0.5,37.0,0.001417434443656981
1271,0.0,0.04115286605547582,1,2.6506473630303557e-17,0.00042277310093645704,1.976219541428766e-17,1.8798982120384682e-17,1.0,45.0,0.0007087172218284905
1272,24152.47414905356,0.05188522471287714,2,3.054378815743632e-13,0.0004833589677716422,3.054943578730722e-13,3.054780491283649e-13,0.5,40.0,0.001417434443656981
1273,696.7916666666666,0.06489907155064899,3,2.1848372976495738e-10,0.0006534746050136324,2.1848370800749172e-10,2.1848369982223498e-10,0.4390432098765432,35.0,0.002126151665485471
1274,0.3333333333333333,0.06805521918139985,2,4.623639352650511e-09,0.0004741715939428753,4.623639329009451e-09,4.6236393314564575e-09,0.5,33.0,0.001417434443656981
1275,0.0,0.06603995299647474,2,0.0001808072979538954,0.00040889150433149935,0.00018080729795400216,0.00018080729795398237,0.724721261053441,37.0,0.001417434443656981
1276,1181.7666290569239,0.0807564087826187,5,0.0006943813755905684,0.0009239516353173656,0.0006943813755904954,0.0006943813755904817,0.2790432098765432,29.0,0.003543586109142452
