Community,Size
0,134
1,117
2,114
3,86
4,80
5,78
6,71
7,70
8,69
9,68
10,60
11,51
12,49
13,48
14,48
15,47
16,38
17,37
18,32
19,30
20,25
21,21
22,17
23,16
24,5
25,1
