Rank,Location ID,Longitude,Latitude,Betweenness Score,Normalized Score (0-100)
1,70188,85.21041,23.981432,350.7,100.0
2,97891,85.521314,23.207717,332.4357,94.79
3,82706,76.621698,10.063822,233.0,66.44
4,96474,75.188488,32.987682,228.0,65.01
5,76679,86.874251,22.304078,226.0,64.44
6,84643,78.050801,11.754784,223.0,63.59
7,55727,79.185523,17.710206,214.1667,61.07
8,108351,82.637959,25.752274,213.2167,60.8
9,92379,74.690479,16.851544,203.5,58.03
10,100283,72.411213,22.621765,199.0,56.74
