,Betweenness Centrality,Eigenvector Centrality,Closeness Centrality,PageRank,Degree
mean,9311.816572237936,0.011520614296184806,0.07510583388097374,0.000708215297450425,3.508498583569405
std,47294.648084625405,0.045992862552882374,0.04105406265221451,0.0005294681142017637,3.15047812476098
min,0.0,0.0,0.03818349820632677,0.00010629628317391002,0.0
max,508812.1016205674,1.0,0.8,0.005459313143683963,34.0
count,1412.0,,,,
