node_id,Betweenness Centrality,Eigenvector Centrality,Closeness Centrality,PageRank,Degree,Community
0,0.0,3.212227560945834e-05,0.06235022632466495,0.0003078533091613525,1,0
1,0.0,3.909758511091577e-05,0.06237236970611738,0.00047422393024082666,2,0
2,0.0,1.933994982837915e-05,0.05918281381634372,0.000439160563917901,2,0
3,265757.7119336555,0.008950327899203856,0.07890155556803505,0.0010192935090581885,6,1
4,315.850294150294,0.00022036172418789146,0.06652147152123479,0.00040915354458400955,2,0
5,7889.067747308839,0.0002809351445179648,0.0660958743002305,0.0022662322240120515,13,0
6,2551.2562688155936,0.00015170875991963426,0.06556535535955947,0.000893965446626948,5,0
7,13141.811516601698,0.0005831294256792254,0.07008879576972962,0.0008368930002895564,5,0
8,328.0336274836275,0.00025387614919777636,0.06652462121212122,0.0005820728097505105,3,0
9,209245.91629113487,0.001336840705564084,0.07118249062721653,0.005459313143683963,30,0
10,0.6666666666666666,0.00221565371171643,0.07183393834040595,0.0005851887599409297,3,2
11,19900.171084591017,0.000504728987297643,0.06705163691896535,0.002928725295690454,17,0
12,623.0160455261591,6.833554349636457e-05,0.06202542821825888,0.0007657768730609374,4,0
13,1866.607359925156,0.0003145363948723024,0.06617370007535794,0.0010090035128701848,6,0
14,58.196868545357866,0.0001213954699042306,0.06214889193612598,0.0008804070152087514,5,0
15,408.8110084360092,0.0002722410931768092,0.06652777120128794,0.0007344170951460587,4,0
16,64.90847608325609,0.00030566870743895067,0.06626420789510919,0.0005679406863496132,3,0
17,11.194190368970377,0.0002810404451732371,0.06626108281456329,0.00039416179700894254,2,0
18,9.166666666666666,0.00014953744397333508,0.06595934463170743,0.0005716912617677689,3,0
19,1285.9119047619047,0.0005446462922142699,0.07050381372942593,0.0005687810242464681,3,0
20,1259.555510065551,0.00023133264849404094,0.06650257963743078,0.0005762977402174257,3,0
21,2.428571428571429,6.916494289823629e-05,0.06244444444444444,0.00044640515215229107,2,0
22,0.0,5.4802566055826074e-05,0.06201447740112994,0.0004041421980982388,2,0
23,0.8333333333333333,2.146333852474243e-05,0.05882599229609781,0.00042828115395373466,2,0
24,815.5838101736961,8.923660681890297e-05,0.06248610184567489,0.0007494460482568502,4,0
25,0.0,4.757512668718915e-05,0.062009003442492716,0.0004172005910382107,2,0
26,1896.4918730202633,0.0002157779825176618,0.0664931377188831,0.0009133729853562613,4,0
27,7007.5,0.00023582426540808772,0.0664931377188831,0.001659881390484821,7,0
28,3758.7860422201325,0.0005052613910375271,0.0699910331772442,0.0008326887649432209,4,0
29,23714.235013542224,0.006314224411355341,0.07592542556065929,0.0026881417871546876,15,2
30,24798.814369322794,0.01163877434525776,0.0770792187842879,0.002856326777902128,16,2
31,7925.785520206035,0.009165471226740635,0.0780165472819146,0.0005442818746276452,3,1
32,9.594047619047615,6.523270567133178e-05,0.062491660365609575,0.0005974771028204889,3,0
33,1400.5,0.00021896374580533415,0.06648055266395382,0.0006864080065017748,3,0
34,0.0,3.7187717490263317e-05,0.062352993387476144,0.0005353970594106366,2,0
35,1084.3468524122845,0.00015483082757731785,0.06302144074638916,0.0010644461981393302,6,0
36,732.3608598177348,0.00045498227861151834,0.06988658973338639,0.000602313887010494,3,0
37,81.4922964462439,7.949643026426919e-05,0.06288322964686927,0.0004331001073886691,2,0
38,3.8095238095238093,0.00024456967544307006,0.06648684459587356,0.0006208926851514913,3,0
39,0.0,0.00021988034183019996,0.0664836984810486,0.0004176520176342486,2,0
40,84.63760160969342,0.00042173694230543776,0.06987963791902914,0.00041887010699573763,2,0
41,0.0,0.0016020920520896545,0.07181190902121135,0.000259416592773147,1,2
42,23.12769067864976,0.0005162185001226694,0.06718951747883889,0.0004294291912734628,2,2
43,2.5,3.68689748716838e-05,0.06235576069589917,0.0005317274674307053,2,0
44,0.0,3.7187717490262016e-05,0.062352993387476144,0.0005353970594104986,2,0
45,1404.0,5.43972163681609e-06,0.05635102073557133,0.0005952198639741085,2,3
46,14839.006349206795,4.2734903599523935e-09,0.04642939757443574,0.0020115937081306135,12,4
47,2225.8666045023483,3.792429829806863e-05,0.06295649056772863,0.000699655639618869,3,3
48,701.4999999999999,1.2003633286349664e-10,0.0425062019725298,0.000517605618456692,2,4
49,0.0,0.09183557815091406,0.0876536277996132,0.0005063432210055564,3,5
50,237141.51932311,0.0728708811751408,0.08673910359303617,0.0030544209941125613,18,6
51,0.0,0.0058470646489298,0.07706230802983764,0.0002878687304901446,1,5
52,2806.0,0.00025972875470317846,0.06891646637563154,0.0006713477861553055,2,6
53,1404.0,3.604718880611584e-05,0.06448207811280922,0.0007545533197448584,2,6
54,456596.1606446096,1.0,0.09738684411173494,0.005351575536075745,34,5
55,0.0,0.08140192565667566,0.08347195817490494,0.00038556602793414675,2,5
