Community,Size
0,114
1,93
2,87
3,80
4,73
5,70
6,69
7,69
8,69
9,68
10,68
11,64
12,62
13,53
14,52
15,49
16,48
17,46
18,38
19,37
20,31
21,29
22,21
23,16
24,5
25,1
