Node,Community,Betweenness,Degree,Connected Communities,Comm Size,Relative Betweenness,Degree Centrality
70188,48,350.6999999999999,20,1,3207,100.0,0.00017157073003345628
97891,2,332.4357142857143,8,1,3478,94.79204855594936,6.862829201338252e-05
82706,62,233.0,5,1,2658,66.43855146849161,4.289268250836407e-05
96474,16,227.99999999999997,6,1,6820,65.01283147989736,5.147121901003689e-05
84643,24,223.0,6,1,592,63.587111491303126,5.147121901003689e-05
55727,0,214.16666666666663,7,1,6444,61.068339511453296,6.00497555117097e-05
108351,45,213.21666666666658,7,1,2513,60.79745271362038,6.00497555117097e-05
92379,1,203.5,6,1,3826,58.02680353578559,5.147121901003689e-05
100283,14,199.0,7,1,3473,56.743655546050775,6.00497555117097e-05
77281,58,195.0,6,1,6506,55.603079555175384,5.147121901003689e-05
87170,25,193.59999999999994,10,1,2818,55.20387795836898,8.578536501672814e-05
47083,243,191.83333333333334,5,1,137,54.70012356239904,4.289268250836407e-05
57481,3,191.0,7,1,2575,54.46250356429999,6.00497555117097e-05
113395,12,191.0,6,1,2206,54.46250356429999,5.147121901003689e-05
35889,267,181.0,6,1,575,51.6110635871115,5.147121901003689e-05
71405,15,181.0,6,1,2093,51.6110635871115,5.147121901003689e-05
44922,5,167.33333333333331,5,1,4520,47.714095618287246,4.289268250836407e-05
38050,223,161.0,7,1,122,45.90818363273455,6.00497555117097e-05
77158,154,159.5,6,1,1914,45.48046763615628,5.147121901003689e-05
30534,479,154.0,7,1,160,43.912175648702615,6.00497555117097e-05
110452,161,154.0,5,1,535,43.912175648702615,4.289268250836407e-05
20335,17,153.0,5,1,4706,43.62703165098376,4.289268250836407e-05
26758,74,151.33333333333331,6,1,707,43.151791654785676,5.147121901003689e-05
37136,6,148.00000000000003,6,1,479,42.20131166238953,5.147121901003689e-05
58007,55,144.54999999999995,6,1,344,41.21756487025948,5.147121901003689e-05
75398,279,144.0,5,1,136,41.06073567151413,4.289268250836407e-05
101725,13,139.8,7,1,3195,39.863130881094975,6.00497555117097e-05
107623,59,139.13333333333333,7,1,340,39.67303488261573,6.00497555117097e-05
92296,108,139.0,4,1,167,39.635015682919885,3.431414600669126e-05
64157,103,138.5,6,1,108,39.49244368406046,5.147121901003689e-05
93141,75,138.0,5,1,475,39.349871685201045,4.289268250836407e-05
27161,158,135.88333333333333,6,1,512,38.746316890029476,5.147121901003689e-05
64480,493,133.66666666666666,4,1,220,38.11424769508603,3.431414600669126e-05
79305,92,128.33333333333331,5,1,352,36.59347970725217,4.289268250836407e-05
96689,67,128.0,6,1,2070,36.49843170801256,5.147121901003689e-05
68498,22,128.0,5,1,4054,36.49843170801256,4.289268250836407e-05
89330,195,126.0,4,1,251,35.92814371257486,3.431414600669126e-05
35299,99,123.0,4,1,324,35.07271171941832,3.431414600669126e-05
54065,93,122.5,4,1,254,34.9301397205589,3.431414600669126e-05
8544,527,122.5,8,1,192,34.9301397205589,6.862829201338252e-05
84297,81,119.5,7,1,70,34.07470772740235,6.00497555117097e-05
75887,610,118.23333333333333,5,1,138,33.71352533029181,4.289268250836407e-05
108402,31,114.12142857142858,5,1,2248,32.54104036824312,4.289268250836407e-05
109216,165,110.5,5,1,76,31.50841174793272,4.289268250836407e-05
95847,21,105.0,4,1,408,29.94011976047905,3.431414600669126e-05
12195,504,105.0,5,1,313,29.94011976047905,4.289268250836407e-05
27076,176,104.5,4,1,461,29.79754776161963,3.431414600669126e-05
32658,366,104.5,4,1,404,29.79754776161963,3.431414600669126e-05
75153,73,104.0,5,1,555,29.654975762760206,4.289268250836407e-05
43877,674,102.0,4,1,144,29.08468776732251,3.431414600669126e-05
65178,85,101.50000000000003,5,1,1129,28.942115768463093,4.289268250836407e-05
90243,1527,101.5,4,1,89,28.942115768463083,3.431414600669126e-05
67547,469,101.0,5,1,113,28.79954376960366,4.289268250836407e-05
41596,184,101.0,4,1,326,28.79954376960366,3.431414600669126e-05
11079,220,95.0,6,1,368,27.08867978329057,5.147121901003689e-05
70739,245,93.66666666666666,4,1,279,26.708487786332103,3.431414600669126e-05
89233,773,93.0,5,1,126,26.518391787852874,4.289268250836407e-05
49887,149,93.0,4,1,65,26.518391787852874,3.431414600669126e-05
108665,953,93.0,5,1,170,26.518391787852874,4.289268250836407e-05
76697,269,92.75000000000001,6,1,416,26.44710578842317,5.147121901003689e-05
112759,60,91.66666666666667,5,1,268,26.13819979089441,4.289268250836407e-05
35399,265,90.0,6,1,109,25.662959794696334,5.147121901003689e-05
107280,659,89.66666666666666,7,1,92,25.56791179545671,6.00497555117097e-05
10100,66,89.50000000000001,6,1,451,25.520387795836914,5.147121901003689e-05
101942,507,89.5,6,1,137,25.520387795836907,5.147121901003689e-05
86592,259,87.5,4,1,254,24.95009980039921,3.431414600669126e-05
103161,90,87.26666666666667,5,1,170,24.88356620093148,4.289268250836407e-05
368,56,85.33333333333334,7,1,71,24.33228780534171,6.00497555117097e-05
70637,1552,85.08333333333334,4,1,173,24.261001805911995,3.431414600669126e-05
16297,72,85.0,4,1,96,24.23723980610209,3.431414600669126e-05
105530,44,85.0,6,1,1596,24.23723980610209,5.147121901003689e-05
4678,291,84.66666666666666,5,1,53,24.14219180686247,4.289268250836407e-05
68282,71,84.33333333333334,4,1,165,24.047143807622863,3.431414600669126e-05
19328,502,84.0,7,1,57,23.95209580838324,6.00497555117097e-05
44745,140,84.0,4,1,172,23.95209580838324,3.431414600669126e-05
98074,536,83.5,5,1,52,23.80952380952382,4.289268250836407e-05
62174,189,82.0,7,1,174,23.381807812945546,6.00497555117097e-05
97509,439,81.5,6,1,187,23.239235814086122,5.147121901003689e-05
16564,521,80.0,5,1,216,22.81151981750785,4.289268250836407e-05
70923,294,79.0,4,1,236,22.526375819789003,3.431414600669126e-05
57628,53,78.5,4,1,185,22.383803820929575,3.431414600669126e-05
79419,69,77.16666666666667,5,1,227,22.003611823971113,4.289268250836407e-05
56500,210,77.0,4,1,426,21.956087824351307,3.431414600669126e-05
89132,287,77.0,3,1,72,21.956087824351307,2.5735609505018444e-05
59375,386,75.0,4,1,209,21.38579982891361,3.431414600669126e-05
104009,227,74.16666666666666,4,1,264,21.148179830814566,3.431414600669126e-05
43420,26,73.0,4,1,131,20.815511833475913,3.431414600669126e-05
71656,98,73.0,4,1,756,20.815511833475913,3.431414600669126e-05
74561,70,72.91666666666667,7,1,130,20.79174983366601,6.00497555117097e-05
113412,1256,72.0,5,1,49,20.530367835757065,4.289268250836407e-05
49475,175,72.0,5,1,89,20.530367835757065,4.289268250836407e-05
102118,304,71.16666666666666,7,1,133,20.29274783765802,6.00497555117097e-05
57519,217,71.0,5,1,73,20.245223838038218,4.289268250836407e-05
88939,626,71.0,4,1,161,20.245223838038218,3.431414600669126e-05
96790,319,70.13333333333333,6,1,50,19.998099040015212,5.147121901003689e-05
59265,27,67.0,5,1,103,19.104647847162823,4.289268250836407e-05
53755,77,66.5,5,1,338,18.9620758483034,4.289268250836407e-05
64611,636,66.5,4,1,143,18.9620758483034,3.431414600669126e-05
97954,143,66.0,5,1,226,18.819503849443976,4.289268250836407e-05
97209,871,64.91666666666666,4,1,64,18.510597851915218,3.431414600669126e-05
33534,387,64.5,6,1,201,18.391787852865704,5.147121901003689e-05
18177,222,64.5,4,1,84,18.391787852865704,3.431414600669126e-05
105977,447,64.0,4,1,146,18.24921585400628,3.431414600669126e-05
112674,531,63.75,5,1,49,18.17792985457657,4.289268250836407e-05
77501,112,62.0,4,1,577,17.67892785856858,3.431414600669126e-05
38507,190,61.0,3,1,252,17.393783860849734,2.5735609505018444e-05
63498,236,60.5,4,1,79,17.251211861990313,3.431414600669126e-05
79001,477,60.0,3,1,122,17.108639863130886,2.5735609505018444e-05
